x_coord,y_coord,image_source,water_percentage,date,year
6,0,Flood_2000_153.tif,0.01,153,2000
7,0,Flood_2000_153.tif,0.04,153,2000
10,0,Flood_2000_153.tif,0.01,153,2000
3,1,Flood_2000_153.tif,0.09,153,2000
4,1,Flood_2000_153.tif,0.1,153,2000
5,1,Flood_2000_153.tif,0.06,153,2000
6,1,Flood_2000_153.tif,0.06,153,2000
7,1,Flood_2000_153.tif,0.02,153,2000
8,1,Flood_2000_153.tif,0.1,153,2000
9,1,Flood_2000_153.tif,0.06,153,2000
10,1,Flood_2000_153.tif,0.02,153,2000
3,2,Flood_2000_153.tif,0.01,153,2000
4,2,Flood_2000_153.tif,0.05,153,2000
5,2,Flood_2000_153.tif,0.07,153,2000
6,2,Flood_2000_153.tif,0.02,153,2000
7,2,Flood_2000_153.tif,0.04,153,2000
8,2,Flood_2000_153.tif,0.04,153,2000
9,2,Flood_2000_153.tif,0.03,153,2000
10,2,Flood_2000_153.tif,0.02,153,2000
11,2,Flood_2000_153.tif,0.01,153,2000
0,3,Flood_2000_153.tif,0.26,153,2000
1,3,Flood_2000_153.tif,0.05,153,2000
2,3,Flood_2000_153.tif,0.01,153,2000
3,3,Flood_2000_153.tif,0.0,153,2000
4,3,Flood_2000_153.tif,0.01,153,2000
5,3,Flood_2000_153.tif,0.1,153,2000
6,3,Flood_2000_153.tif,0.09,153,2000
7,3,Flood_2000_153.tif,0.05,153,2000
8,3,Flood_2000_153.tif,0.05,153,2000
9,3,Flood_2000_153.tif,0.03,153,2000
10,3,Flood_2000_153.tif,0.06,153,2000
11,3,Flood_2000_153.tif,0.05,153,2000
12,3,Flood_2000_153.tif,0.15,153,2000
1,4,Flood_2000_153.tif,0.13,153,2000
2,4,Flood_2000_153.tif,0.15,153,2000
3,4,Flood_2000_153.tif,0.04,153,2000
4,4,Flood_2000_153.tif,0.03,153,2000
5,4,Flood_2000_153.tif,0.02,153,2000
6,4,Flood_2000_153.tif,0.11,153,2000
7,4,Flood_2000_153.tif,0.05,153,2000
8,4,Flood_2000_153.tif,0.09,153,2000
