x_coord,y_coord,image_source,inland_aquaculture,shrimp_rice_farming,single_rice_cropping,triple_rice_cropping,double_rice_cropping_dry,double_rice_cropping_rain,others,year
6,0,Landuse_2000.tif,0.0,0.0,0.03,0.26,0.48,0.08,0.15,2000
7,0,Landuse_2000.tif,0.0,0.01,0.03,0.17,0.54,0.06,0.19,2000
10,0,Landuse_2000.tif,0.0,0.01,0.01,0.15,0.14,0.01,0.69,2000
3,1,Landuse_2000.tif,0.0,0.02,0.05,0.05,0.63,0.0,0.26,2000
4,1,Landuse_2000.tif,0.02,0.03,0.01,0.11,0.54,0.01,0.28,2000
5,1,Landuse_2000.tif,0.0,0.02,0.03,0.04,0.69,0.0,0.22,2000
6,1,Landuse_2000.tif,0.0,0.02,0.24,0.01,0.51,0.0,0.21,2000
7,1,Landuse_2000.tif,0.0,0.0,0.04,0.0,0.51,0.0,0.44,2000
8,1,Landuse_2000.tif,0.0,0.0,0.04,0.06,0.56,0.05,0.29,2000
9,1,Landuse_2000.tif,0.0,0.03,0.1,0.0,0.46,0.0,0.41,2000
10,1,Landuse_2000.tif,0.0,0.01,0.04,0.03,0.21,0.0,0.7,2000
3,2,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.63,0.01,0.33,2000
4,2,Landuse_2000.tif,0.0,0.03,0.01,0.06,0.65,0.01,0.25,2000
5,2,Landuse_2000.tif,0.0,0.03,0.02,0.15,0.54,0.02,0.25,2000
6,2,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.82,0.0,0.16,2000
7,2,Landuse_2000.tif,0.0,0.01,0.06,0.08,0.63,0.0,0.22,2000
8,2,Landuse_2000.tif,0.0,0.0,0.05,0.11,0.48,0.0,0.36,2000
9,2,Landuse_2000.tif,0.0,0.11,0.14,0.0,0.33,0.0,0.42,2000
10,2,Landuse_2000.tif,0.0,0.0,0.02,0.19,0.28,0.06,0.45,2000
11,2,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.0,0.79,0.18,2000
0,3,Landuse_2000.tif,0.21,0.04,0.01,0.01,0.02,0.0,0.71,2000
1,3,Landuse_2000.tif,0.01,0.16,0.15,0.0,0.09,0.0,0.59,2000
2,3,Landuse_2000.tif,0.01,0.1,0.06,0.04,0.26,0.01,0.53,2000
3,3,Landuse_2000.tif,0.0,0.01,0.02,0.01,0.64,0.0,0.32,2000
4,3,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.8,0.0,0.19,2000
5,3,Landuse_2000.tif,0.01,0.03,0.01,0.18,0.36,0.02,0.38,2000
6,3,Landuse_2000.tif,0.01,0.02,0.01,0.15,0.38,0.0,0.43,2000
7,3,Landuse_2000.tif,0.0,0.01,0.0,0.12,0.46,0.0,0.41,2000
8,3,Landuse_2000.tif,0.0,0.01,0.0,0.44,0.1,0.0,0.45,2000
9,3,Landuse_2000.tif,0.0,0.0,0.0,0.34,0.05,0.0,0.6,2000
10,3,Landuse_2000.tif,0.02,0.02,0.0,0.24,0.02,0.0,0.7,2000
11,3,Landuse_2000.tif,0.06,0.01,0.02,0.33,0.0,0.25,0.33,2000
12,3,Landuse_2000.tif,0.1,0.01,0.02,0.26,0.0,0.33,0.27,2000
1,4,Landuse_2000.tif,0.03,0.05,0.09,0.0,0.03,0.01,0.78,2000
2,4,Landuse_2000.tif,0.01,0.02,0.15,0.02,0.21,0.07,0.52,2000
3,4,Landuse_2000.tif,0.0,0.0,0.01,0.02,0.84,0.0,0.13,2000
4,4,Landuse_2000.tif,0.0,0.0,0.0,0.0,0.75,0.0,0.24,2000
5,4,Landuse_2000.tif,0.0,0.0,0.0,0.17,0.54,0.03,0.25,2000
6,4,Landuse_2000.tif,0.01,0.02,0.01,0.16,0.33,0.02,0.45,2000
7,4,Landuse_2000.tif,0.01,0.01,0.0,0.09,0.45,0.0,0.43,2000
8,4,Landuse_2000.tif,0.03,0.02,0.0,0.26,0.09,0.03,0.57,2000
9,4,Landuse_2000.tif,0.05,0.04,0.0,0.09,0.01,0.01,0.8,2000
10,4,Landuse_2000.tif,0.01,0.02,0.0,0.03,0.0,0.01,0.93,2000
11,4,Landuse_2000.tif,0.04,0.03,0.01,0.13,0.0,0.08,0.72,2000
12,4,Landuse_2000.tif,0.25,0.03,0.12,0.02,0.0,0.14,0.44,2000
3,5,Landuse_2000.tif,0.0,0.0,0.01,0.09,0.56,0.06,0.28,2000
4,5,Landuse_2000.tif,0.0,0.0,0.0,0.01,0.8,0.0,0.2,2000
5,5,Landuse_2000.tif,0.0,0.0,0.0,0.22,0.43,0.08,0.27,2000
6,5,Landuse_2000.tif,0.01,0.0,0.0,0.28,0.18,0.03,0.5,2000
7,5,Landuse_2000.tif,0.04,0.02,0.0,0.19,0.07,0.01,0.66,2000
8,5,Landuse_2000.tif,0.0,0.0,0.0,0.31,0.02,0.16,0.5,2000
9,5,Landuse_2000.tif,0.01,0.01,0.0,0.41,0.0,0.04,0.54,2000
10,5,Landuse_2000.tif,0.09,0.02,0.01,0.02,0.0,0.04,0.81,2000
11,5,Landuse_2000.tif,0.08,0.04,0.1,0.25,0.0,0.06,0.46,2000
3,6,Landuse_2000.tif,0.0,0.02,0.0,0.08,0.03,0.5,0.36,2000
4,6,Landuse_2000.tif,0.0,0.0,0.0,0.15,0.59,0.02,0.24,2000
5,6,Landuse_2000.tif,0.0,0.0,0.0,0.09,0.6,0.01,0.3,2000
6,6,Landuse_2000.tif,0.0,0.0,0.0,0.29,0.39,0.03,0.28,2000
7,6,Landuse_2000.tif,0.0,0.0,0.0,0.21,0.09,0.0,0.69,2000
8,6,Landuse_2000.tif,0.08,0.04,0.0,0.2,0.0,0.01,0.67,2000
9,6,Landuse_2000.tif,0.0,0.0,0.0,0.36,0.0,0.19,0.45,2000
10,6,Landuse_2000.tif,0.02,0.01,0.06,0.08,0.0,0.42,0.41,2000
11,6,Landuse_2000.tif,0.36,0.07,0.09,0.0,0.0,0.08,0.4,2000
2,7,Landuse_2000.tif,0.05,0.05,0.04,0.0,0.0,0.04,0.82,2000
3,7,Landuse_2000.tif,0.02,0.04,0.01,0.09,0.0,0.29,0.54,2000
4,7,Landuse_2000.tif,0.0,0.02,0.0,0.2,0.03,0.2,0.55,2000
5,7,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.06,0.03,0.58,2000
6,7,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.24,0.01,0.43,2000
7,7,Landuse_2000.tif,0.0,0.0,0.0,0.26,0.19,0.09,0.46,2000
8,7,Landuse_2000.tif,0.01,0.0,0.0,0.17,0.02,0.37,0.44,2000
9,7,Landuse_2000.tif,0.09,0.03,0.01,0.05,0.0,0.25,0.56,2000
10,7,Landuse_2000.tif,0.13,0.02,0.0,0.01,0.0,0.37,0.46,2000
11,7,Landuse_2000.tif,0.38,0.02,0.06,0.0,0.0,0.06,0.48,2000
2,8,Landuse_2000.tif,0.02,0.09,0.04,0.0,0.0,0.0,0.84,2000
3,8,Landuse_2000.tif,0.0,0.02,0.02,0.0,0.0,0.02,0.92,2000
4,8,Landuse_2000.tif,0.05,0.01,0.01,0.02,0.0,0.36,0.56,2000
5,8,Landuse_2000.tif,0.07,0.04,0.02,0.16,0.0,0.21,0.49,2000
6,8,Landuse_2000.tif,0.0,0.0,0.01,0.36,0.0,0.3,0.32,2000
7,8,Landuse_2000.tif,0.05,0.05,0.01,0.05,0.0,0.43,0.41,2000
8,8,Landuse_2000.tif,0.08,0.05,0.04,0.0,0.0,0.5,0.34,2000
9,8,Landuse_2000.tif,0.07,0.02,0.03,0.05,0.0,0.53,0.3,2000
2,9,Landuse_2000.tif,0.0,0.05,0.0,0.0,0.0,0.02,0.92,2000
3,9,Landuse_2000.tif,0.2,0.11,0.02,0.0,0.0,0.02,0.65,2000
4,9,Landuse_2000.tif,0.39,0.08,0.01,0.02,0.01,0.16,0.32,2000
5,9,Landuse_2000.tif,0.09,0.02,0.01,0.05,0.0,0.54,0.29,2000
6,9,Landuse_2000.tif,0.03,0.02,0.07,0.09,0.0,0.55,0.24,2000
7,9,Landuse_2000.tif,0.13,0.04,0.2,0.0,0.0,0.28,0.35,2000
8,9,Landuse_2000.tif,0.4,0.05,0.1,0.0,0.0,0.01,0.44,2000
2,10,Landuse_2000.tif,0.03,0.01,0.02,0.15,0.01,0.08,0.7,2000
3,10,Landuse_2000.tif,0.06,0.07,0.09,0.05,0.05,0.19,0.49,2000
4,10,Landuse_2000.tif,0.37,0.04,0.1,0.0,0.0,0.22,0.27,2000
5,10,Landuse_2000.tif,0.51,0.04,0.09,0.0,0.0,0.14,0.22,2000
2,11,Landuse_2000.tif,0.08,0.03,0.05,0.02,0.0,0.04,0.78,2000
3,11,Landuse_2000.tif,0.15,0.08,0.05,0.0,0.0,0.04,0.68,2000
4,11,Landuse_2000.tif,0.61,0.01,0.01,0.0,0.0,0.05,0.32,2000
2,12,Landuse_2000.tif,0.6,0.05,0.0,0.01,0.0,0.0,0.34,2000
3,12,Landuse_2000.tif,0.56,0.04,0.0,0.0,0.0,0.0,0.39,2000
4,12,Landuse_2000.tif,0.06,0.03,0.0,0.03,0.0,0.01,0.87,2000
2,13,Landuse_2000.tif,0.4,0.02,0.0,0.0,0.0,0.0,0.57,2000
6,0,Landuse_2001.tif,0.0,0.0,0.07,0.02,0.76,0.0,0.15,2001
7,0,Landuse_2001.tif,0.0,0.0,0.13,0.0,0.68,0.0,0.19,2001
10,0,Landuse_2001.tif,0.0,0.0,0.02,0.11,0.22,0.01,0.64,2001
3,1,Landuse_2001.tif,0.01,0.0,0.08,0.05,0.61,0.0,0.26,2001
4,1,Landuse_2001.tif,0.02,0.0,0.03,0.0,0.66,0.0,0.28,2001
5,1,Landuse_2001.tif,0.02,0.0,0.11,0.0,0.67,0.0,0.19,2001
6,1,Landuse_2001.tif,0.02,0.01,0.35,0.0,0.43,0.0,0.2,2001
