x_coord,y_coord,image_source_x,water_percentage,date,year,image_source_y,inland_aquaculture,shrimp_rice_farming,single_rice_cropping,triple_rice_cropping,double_rice_cropping_dry,double_rice_cropping_rain,others,date_time
10,5,Flood_2000_153.tif,0.2,153,2000,Landuse_2000.tif,0.09,0.02,0.01,0.02,0.0,0.04,0.81,2000-06-01
2,12,Flood_2000_153.tif,0.58,153,2000,Landuse_2000.tif,0.6,0.05,0.0,0.01,0.0,0.0,0.34,2000-06-01
2,7,Flood_2000_153.tif,0.3,153,2000,Landuse_2000.tif,0.05,0.05,0.04,0.0,0.0,0.04,0.82,2000-06-01
3,1,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.0,0.02,0.05,0.05,0.63,0.0,0.26,2000-06-01
9,5,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.01,0.01,0.0,0.41,0.0,0.04,0.54,2000-06-01
2,8,Flood_2000_153.tif,0.19,153,2000,Landuse_2000.tif,0.02,0.09,0.04,0.0,0.0,0.0,0.84,2000-06-01
5,9,Flood_2000_153.tif,0.46,153,2000,Landuse_2000.tif,0.09,0.02,0.01,0.05,0.0,0.54,0.29,2000-06-01
6,5,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.01,0.0,0.0,0.28,0.18,0.03,0.5,2000-06-01
3,3,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.01,0.02,0.01,0.64,0.0,0.32,2000-06-01
4,1,Flood_2000_153.tif,0.1,153,2000,Landuse_2000.tif,0.02,0.03,0.01,0.11,0.54,0.01,0.28,2000-06-01
4,2,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.0,0.03,0.01,0.06,0.65,0.01,0.25,2000-06-01
2,13,Flood_2000_153.tif,0.31,153,2000,Landuse_2000.tif,0.4,0.02,0.0,0.0,0.0,0.0,0.57,2000-06-01
9,7,Flood_2000_153.tif,0.28,153,2000,Landuse_2000.tif,0.09,0.03,0.01,0.05,0.0,0.25,0.56,2000-06-01
5,10,Flood_2000_153.tif,0.73,153,2000,Landuse_2000.tif,0.51,0.04,0.09,0.0,0.0,0.14,0.22,2000-06-01
3,9,Flood_2000_153.tif,0.35,153,2000,Landuse_2000.tif,0.2,0.11,0.02,0.0,0.0,0.02,0.65,2000-06-01
9,6,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.36,0.0,0.19,0.45,2000-06-01
9,2,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.11,0.14,0.0,0.33,0.0,0.42,2000-06-01
9,1,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.0,0.03,0.1,0.0,0.46,0.0,0.41,2000-06-01
3,8,Flood_2000_153.tif,0.11,153,2000,Landuse_2000.tif,0.0,0.02,0.02,0.0,0.0,0.02,0.92,2000-06-01
9,4,Flood_2000_153.tif,0.16,153,2000,Landuse_2000.tif,0.05,0.04,0.0,0.09,0.01,0.01,0.8,2000-06-01
10,2,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.02,0.19,0.28,0.06,0.45,2000-06-01
3,10,Flood_2000_153.tif,0.22,153,2000,Landuse_2000.tif,0.06,0.07,0.09,0.05,0.05,0.19,0.49,2000-06-01
5,8,Flood_2000_153.tif,0.37,153,2000,Landuse_2000.tif,0.07,0.04,0.02,0.16,0.0,0.21,0.49,2000-06-01
3,11,Flood_2000_153.tif,0.24,153,2000,Landuse_2000.tif,0.15,0.08,0.05,0.0,0.0,0.04,0.68,2000-06-01
5,2,Flood_2000_153.tif,0.07,153,2000,Landuse_2000.tif,0.0,0.03,0.02,0.15,0.54,0.02,0.25,2000-06-01
7,8,Flood_2000_153.tif,0.27,153,2000,Landuse_2000.tif,0.05,0.05,0.01,0.05,0.0,0.43,0.41,2000-06-01
3,12,Flood_2000_153.tif,0.42,153,2000,Landuse_2000.tif,0.56,0.04,0.0,0.0,0.0,0.0,0.39,2000-06-01
4,12,Flood_2000_153.tif,0.07,153,2000,Landuse_2000.tif,0.06,0.03,0.0,0.03,0.0,0.01,0.87,2000-06-01
5,6,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.09,0.6,0.01,0.3,2000-06-01
2,11,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.08,0.03,0.05,0.02,0.0,0.04,0.78,2000-06-01
2,9,Flood_2000_153.tif,0.17,153,2000,Landuse_2000.tif,0.0,0.05,0.0,0.0,0.0,0.02,0.92,2000-06-01
3,2,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.02,0.63,0.01,0.33,2000-06-01
10,0,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.01,0.01,0.15,0.14,0.01,0.69,2000-06-01
2,4,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.01,0.02,0.15,0.02,0.21,0.07,0.52,2000-06-01
10,6,Flood_2000_153.tif,0.11,153,2000,Landuse_2000.tif,0.02,0.01,0.06,0.08,0.0,0.42,0.41,2000-06-01
2,3,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.01,0.1,0.06,0.04,0.26,0.01,0.53,2000-06-01
10,7,Flood_2000_153.tif,0.2,153,2000,Landuse_2000.tif,0.13,0.02,0.0,0.01,0.0,0.37,0.46,2000-06-01
6,7,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.24,0.01,0.43,2000-06-01
10,1,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.01,0.04,0.03,0.21,0.0,0.7,2000-06-01
10,4,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.01,0.02,0.0,0.03,0.0,0.01,0.93,2000-06-01
6,8,Flood_2000_153.tif,0.19,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.36,0.0,0.3,0.32,2000-06-01
7,4,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.01,0.01,0.0,0.09,0.45,0.0,0.43,2000-06-01
7,5,Flood_2000_153.tif,0.13,153,2000,Landuse_2000.tif,0.04,0.02,0.0,0.19,0.07,0.01,0.66,2000-06-01
10,3,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.02,0.02,0.0,0.24,0.02,0.0,0.7,2000-06-01
1,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.01,0.16,0.15,0.0,0.09,0.0,0.59,2000-06-01
7,2,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.01,0.06,0.08,0.63,0.0,0.22,2000-06-01
6,3,Flood_2000_153.tif,0.09,153,2000,Landuse_2000.tif,0.01,0.02,0.01,0.15,0.38,0.0,0.43,2000-06-01
5,7,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.32,0.06,0.03,0.58,2000-06-01
4,3,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.8,0.0,0.19,2000-06-01
6,1,Flood_2000_153.tif,0.06,153,2000,Landuse_2000.tif,0.0,0.02,0.24,0.01,0.51,0.0,0.21,2000-06-01
6,2,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.01,0.82,0.0,0.16,2000-06-01
1,4,Flood_2000_153.tif,0.13,153,2000,Landuse_2000.tif,0.03,0.05,0.09,0.0,0.03,0.01,0.78,2000-06-01
5,5,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.22,0.43,0.08,0.27,2000-06-01
3,5,Flood_2000_153.tif,0.33,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.09,0.56,0.06,0.28,2000-06-01
7,9,Flood_2000_153.tif,0.43,153,2000,Landuse_2000.tif,0.13,0.04,0.2,0.0,0.0,0.28,0.35,2000-06-01
3,6,Flood_2000_153.tif,0.24,153,2000,Landuse_2000.tif,0.0,0.02,0.0,0.08,0.03,0.5,0.36,2000-06-01
3,7,Flood_2000_153.tif,0.19,153,2000,Landuse_2000.tif,0.02,0.04,0.01,0.09,0.0,0.29,0.54,2000-06-01
6,4,Flood_2000_153.tif,0.11,153,2000,Landuse_2000.tif,0.01,0.02,0.01,0.16,0.33,0.02,0.45,2000-06-01
2,10,Flood_2000_153.tif,0.15,153,2000,Landuse_2000.tif,0.03,0.01,0.02,0.15,0.01,0.08,0.7,2000-06-01
3,4,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.0,0.01,0.02,0.84,0.0,0.13,2000-06-01
7,6,Flood_2000_153.tif,0.02,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.21,0.09,0.0,0.69,2000-06-01
9,8,Flood_2000_153.tif,0.28,153,2000,Landuse_2000.tif,0.07,0.02,0.03,0.05,0.0,0.53,0.3,2000-06-01
9,3,Flood_2000_153.tif,0.03,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.34,0.05,0.0,0.6,2000-06-01
6,6,Flood_2000_153.tif,0.0,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.29,0.39,0.03,0.28,2000-06-01
4,9,Flood_2000_153.tif,0.44,153,2000,Landuse_2000.tif,0.39,0.08,0.01,0.02,0.01,0.16,0.32,2000-06-01
5,3,Flood_2000_153.tif,0.1,153,2000,Landuse_2000.tif,0.01,0.03,0.01,0.18,0.36,0.02,0.38,2000-06-01
8,3,Flood_2000_153.tif,0.05,153,2000,Landuse_2000.tif,0.0,0.01,0.0,0.44,0.1,0.0,0.45,2000-06-01
8,9,Flood_2000_153.tif,0.46,153,2000,Landuse_2000.tif,0.4,0.05,0.1,0.0,0.0,0.01,0.44,2000-06-01
7,0,Flood_2000_153.tif,0.04,153,2000,Landuse_2000.tif,0.0,0.01,0.03,0.17,0.54,0.06,0.19,2000-06-01
8,7,Flood_2000_153.tif,0.07,153,2000,Landuse_2000.tif,0.01,0.0,0.0,0.17,0.02,0.37,0.44,2000-06-01
7,7,Flood_2000_153.tif,0.01,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.26,0.19,0.09,0.46,2000-06-01
4,6,Flood_2000_153.tif,0.16,153,2000,Landuse_2000.tif,0.0,0.0,0.0,0.15,0.59,0.02,0.24,2000-06-01
