,grid,order,seasonal_order
0,"[10, 5]","(1, 1, 1)","(1, 1, 1, 27)"
1,"[2, 12]","(1, 1, 1)","(0, 1, 1, 27)"
2,"[2, 7]","(2, 1, 1)","(0, 1, 1, 27)"
3,"[3, 1]","(1, 1, 1)","(0, 1, 1, 27)"
4,"[9, 5]","(1, 1, 1)","(0, 1, 1, 27)"
5,"[2, 8]","(2, 1, 1)","(0, 1, 1, 27)"
6,"[5, 9]","(1, 1, 1)","(1, 1, 1, 27)"
7,"[6, 5]","(1, 1, 1)","(1, 1, 1, 27)"
8,"[3, 3]","(1, 1, 1)","(0, 1, 1, 27)"
9,"[4, 1]","(1, 1, 1)","(1, 1, 1, 27)"
10,"[4, 2]","(1, 1, 1)","(0, 1, 1, 27)"
11,"[2, 13]","(1, 1, 1)","(0, 1, 1, 27)"
12,"[9, 7]","(1, 1, 1)","(0, 1, 1, 27)"
13,"[5, 10]","(0, 1, 1)","(0, 1, 1, 27)"
14,"[3, 9]","(2, 1, 1)","(0, 1, 1, 27)"
15,"[9, 6]","(2, 1, 1)","(0, 1, 1, 27)"
16,"[9, 2]","(1, 1, 1)","(1, 1, 0, 27)"
17,"[9, 1]","(1, 1, 1)","(1, 1, 0, 27)"
18,"[3, 8]","(2, 1, 1)","(0, 1, 1, 27)"
19,"[9, 4]","(1, 1, 1)","(1, 1, 1, 27)"
20,"[10, 2]","(2, 1, 1)","(1, 1, 0, 27)"
21,"[3, 10]","(0, 1, 1)","(0, 1, 1, 27)"
22,"[5, 8]","(2, 1, 1)","(0, 1, 1, 27)"
23,"[3, 11]","(2, 1, 1)","(1, 1, 1, 27)"
24,"[5, 2]","(1, 1, 1)","(1, 1, 0, 27)"
25,"[7, 8]","(1, 1, 1)","(1, 1, 0, 27)"
26,"[3, 12]","(1, 1, 1)","(0, 1, 1, 27)"
27,"[4, 12]","(1, 1, 1)","(0, 1, 1, 27)"
28,"[5, 6]","(1, 1, 1)","(1, 1, 0, 27)"
29,"[2, 11]","(1, 1, 1)","(0, 1, 1, 27)"
